,Title,Rating,Number of User Reviews,Year,Duration,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,Unknown,War,Western,Cluster
120,Shadow of a Doubt,8.1,63.0,1943,108,"['Film-Noir', 'Thriller']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
121,Inside Out,8.6,2482.0,2015,94,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
122,Sideways,7.6,367.0,2004,126,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
123,Meet Me in St. Louis,7.5,19.0,1945,113,"['Comedy', 'Drama', 'Family', 'Musical', 'Romance']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
124,Sunset Boulevard,8.6,106.0,1950,110,"['Drama', 'Film-Noir']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
125,The Apartment,8.7,93.0,1960,125,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
126,Apocalypse Now,8.7,747.0,1979,153,"['Drama', 'Mystery', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5
127,The Gunfighter,7.2,16.0,1950,85,['Western'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
128,We Were Here,6.5,64.0,2011,90,"['Documentary', 'Biography', 'History', 'News']",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
129,Faces Places,7.2,87.0,2017,89,"['Documentary', 'Adventure']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Days of Heaven,8.0,154.0,1978,94,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
131,Past Lives,8.0,277.0,2023,106,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
132,Chimes at Midnight,8.8,11.0,1967,119,"['Comedy', 'Drama', 'History', 'War']",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
133,The Lord of the Rings: The Return of the King,9.4,3073.0,2003,201,"['Action', 'Adventure', 'Drama', 'Fantasy']",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134,Badlands,7.8,134.0,1973,94,"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
135,Call Me by Your Name,8.0,1258.0,2017,132,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
136,Trenque Lauquen Parte II,6.4,5.0,2023,133,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
137,Trenque Lauquen Parte I,7.8,6.0,2023,129,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
138,Carlos,7.9,91.0,2010,325,"['Biography', 'Crime', 'Drama', 'Thriller']",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
139,Marriage Story,8.1,724.0,2019,137,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
140,The French Connection,7.9,190.0,1971,104,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
141,Elevator to the Gallows,7.8,41.0,1961,91,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
142,La La Land,8.4,2551.0,2016,128,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2
